filename,num_players,num_messages_sent,turns
real_data/number_of_messages_experiment_1512671534.txt,7,430,70
real_data/number_of_messages_experiment_1512671534.txt,7,359,70
real_data/number_of_messages_experiment_1512671534.txt,7,377,70
real_data/number_of_messages_experiment_1512671534.txt,7,371,70
real_data/number_of_messages_experiment_1512671534.txt,7,347,70
real_data/number_of_messages_experiment_1512671534.txt,8,432,62
real_data/number_of_messages_experiment_1512671534.txt,8,467,62
real_data/number_of_messages_experiment_1512671534.txt,8,460,62
real_data/number_of_messages_experiment_1512671534.txt,8,404,62
real_data/number_of_messages_experiment_1512671534.txt,8,425,62
real_data/number_of_messages_experiment_1512671534.txt,8,467,62
real_data/number_of_messages_experiment_1512671534.txt,8,460,62
real_data/number_of_messages_experiment_1512671534.txt,8,543,62
real_data/number_of_messages_experiment_1512671534.txt,9,451,49
real_data/number_of_messages_experiment_1512671534.txt,9,451,49
real_data/number_of_messages_experiment_1512671534.txt,9,483,49
real_data/number_of_messages_experiment_1512671534.txt,9,451,49
real_data/number_of_messages_experiment_1512671534.txt,9,395,49
real_data/number_of_messages_experiment_1512671534.txt,9,411,49
real_data/number_of_messages_experiment_1512671534.txt,9,339,49
real_data/number_of_messages_experiment_1512671534.txt,9,378,49
real_data/number_of_messages_experiment_1512671534.txt,9,339,49
real_data/number_of_messages_experiment_1512671534.txt,10,534,56
real_data/number_of_messages_experiment_1512671534.txt,10,462,56
real_data/number_of_messages_experiment_1512671534.txt,10,426,56
real_data/number_of_messages_experiment_1512671534.txt,10,444,56
real_data/number_of_messages_experiment_1512671534.txt,10,273,56
real_data/number_of_messages_experiment_1512671534.txt,10,479,56
real_data/number_of_messages_experiment_1512671534.txt,10,489,56
real_data/number_of_messages_experiment_1512671534.txt,10,480,56
real_data/number_of_messages_experiment_1512671534.txt,10,435,56
real_data/number_of_messages_experiment_1512671534.txt,10,462,56
real_data/number_of_messages_experiment_1512671534.txt,11,665,66
